date,regionnavn,tests,cases,pospct,rm
2020-03-12,Midtjylland,261,8,0.03065134099616858,0.10644939279493086
2020-03-13,Midtjylland,185,7,0.03783783783783784,0.07700263778961121
2020-03-14,Midtjylland,149,6,0.040268456375838924,0.042713508494932516
2020-03-15,Midtjylland,159,4,0.025157232704402517,0.02979465029920136
2020-03-16,Midtjylland,280,2,0.007142857142857143,0.03078141379203576
2020-03-17,Midtjylland,221,7,0.03167420814479638,0.032003401611961725
2020-03-18,Midtjylland,307,11,0.035830618892508145,0.0349615663805701
2020-03-19,Midtjylland,639,24,0.03755868544600939,0.04519256078685362
2020-03-20,Midtjylland,194,9,0.04639175257731959,0.05917215262358831
2020-03-21,Midtjylland,82,5,0.06097560975609756,0.06607583717433167
2020-03-22,Midtjylland,93,9,0.0967741935483871,0.07486362486731092
2020-03-23,Midtjylland,200,21,0.105,0.08373109784787573
2020-03-24,Midtjylland,200,16,0.08,0.08990452387497652
2020-03-25,Midtjylland,226,22,0.09734513274336283,0.09873758213037111
2020-03-26,Midtjylland,271,27,0.0996309963099631,0.09370390612895317
2020-03-27,Midtjylland,279,25,0.08960573476702509,0.09223079494452559
2020-03-28,Midtjylland,171,21,0.12280701754385964,0.09205081744171344
2020-03-29,Midtjylland,130,8,0.06153846153846154,0.08972738148995892
2020-03-30,Midtjylland,433,41,0.09468822170900693,0.08159938812211313
2020-03-31,Midtjylland,635,50,0.07874015748031496,0.07858330468181406
2020-04-01,Midtjylland,666,54,0.08108108108108109,0.0702958473776465
2020-04-02,Midtjylland,1170,50,0.042735042735042736,0.0702958473776465
2020-04-03,Midtjylland,1022,70,0.0684931506849315,0.0649223807026345
2020-04-04,Midtjylland,463,30,0.06479481641468683,0.06219871573580056
2020-04-05,Midtjylland,325,20,0.06153846153846154,0.057618505273237156
2020-04-06,Midtjylland,1244,71,0.05707395498392283,0.05896409845556504
2020-04-07,Midtjylland,1106,66,0.059674502712477394,0.05519067806068797
2020-04-08,Midtjylland,1020,50,0.049019607843137254,0.05747143214600078
2020-04-09,Midtjylland,441,23,0.05215419501133787,0.058815358489927125
